id,name,price,description,restaurant_id
100,Café Vanilla Frappuccino®,4.99,"Coffee with vanilla bean powder, blended with whole milk and ice. Topped with sweetened whipped cream.",13
101,Café Vanilla Frappuccino® Blended Beverage (Grande),4.99,"We take Frappuccino® roast coffee and vanilla bean powder, combine them with milk and ice, topped with whipped cream. Tastes like happiness.",13
102,Café Vanilla Frappuccino®,4.99,"Coffee with vanilla bean powder, blended with whole milk and ice. Topped with sweetened whipped cream.",13
103,Tall Caramel Frappuccino®,4.99,"Coffee blended with caramel sauce, whole milk and ice. Topped with whipped cream and caramel sauce.",13
104,Caramel Frappuccino® Blended Beverage (Grande),4.99,"Caramel syrup meets coffee, milk and ice for a rendezvous in the blender, while whipped cream and buttery caramel sauce layer the love on top. To change things up, try it affogato-style with a hot espresso shot poured right over the top.",13
105,Venti Caramel Frappuccino®,4.99,"Coffee blended with caramel sauce, whole milk and ice. Topped with whipped cream and caramel sauce.",13
106,Tall Coffee Frappuccino®,4.99,Coffee blended with milk and ice.,13
107,Coffee Frappuccino® Blended Beverage (Grande),4.99,Coffee meets milk and ice in a blender for a rumble-and-tumble togetherness to create one of our most-beloved original Frappuccino® blended beverages.,13
108,Venti Coffee Frappuccino®,4.99,Coffee blended with milk and ice.,13
109,Double Chocolaty Chip Frappuccino®,4.99,"A creamy blend of rich mocha-flavored sauce, chocolaty chips, milk and ice. Topped with sweetened whipped cream and mocha drizzle.",13
110,Double Chocolaty Chip Frappuccino® Blended Beverage (Grande),4.99,"Rich mocha-flavored sauce meets up with chocolaty chips, milk and ice for a blender bash. Top it off with sweetened whipped cream and mocha drizzle for a real party in your mouth.",13
111,Double Chocolaty Chip Frappuccino®,4.99,"A creamy blend of rich mocha-flavored sauce, chocolaty chips, milk and ice. Topped with sweetened whipped cream and mocha drizzle.",13
112,Espresso Frappuccino®,4.99,"Coffee with espresso, blended with milk and ice.",13
113,Espresso Frappuccino® Blended Beverage (Grande),4.99,"Coffee is combined with a shot of espresso and milk, then blended with ice to give you a nice little jolt and lots of sipping joy.",13
114,Espresso Frappuccino®,4.99,"Coffee with espresso, blended with milk and ice.",13
115,Java Chip Frappuccino®,4.99,"Coffee with rich mocha-flavored sauce blended with milk, chocolaty chips and ice.  Topped with sweetened whipped cream and chocolate flavored drizzle.",13
116,Java Chip Frappuccino® Blended Beverage (Grande),4.99,"We blend mocha sauce and Frappuccino® chips with coffee, milk and ice, then top it off with whipped cream and a mocha drizzle to bring you endless java joy.",13
117,Java Chip Frappuccino®,4.99,"Coffee with rich mocha-flavored sauce blended with milk, chocolaty chips and ice.  Topped with sweetened whipped cream and chocolate flavored drizzle.",13
118,Mocha Frappuccino®,4.99,Coffee with rich mocha flavored sauce blended with milk and ice. Topped with sweetened whipped cream.,13
119,Mocha Frappuccino® Blended Beverage (Grande),4.99,"Mocha sauce, Frappuccino® Roast coffee, milk and ice all come together for a mocha flavor that'll leave you wanting more. To change things up, try it affogato-style with a hot espresso shot poured right over the top.",13
120,Mocha Frappuccino®,4.99,Coffee with rich mocha flavored sauce blended with milk and ice. Topped with sweetened whipped cream.,13
121,Peppermint Mocha Frappuccino®,4.99,"Coffee blended with flavored peppermint syrup, rich mocha sauce, milk and ice. Topped with sweetened whipped cream and dark chocolate curls.",13
